,Species,Common_name,Age,Paternal,Maternal,dnm_alpha,maternal_slope,paternal_slope,predicted_alpha_dnms,total_muts,trios
0,Papio_anubis,Baboon,9.756184999999999,42,13,3.230769230769231,1.6029026049220637e-10,6.411610419688255e-10,2.6213833868774383,55,12
0,Felis_catus,Cat,3.55,21,9,2.3333333333333335,7.298245575623269e-10,2.9192982302493075e-09,3.3506301802447727,30,3
0,Bos_taurus,Cattle,5.0,151,55,2.7454545454545456,5.866666666666666e-10,2.3466666666666664e-09,2.9130434782608696,206,13
0,Pan_troglodytes,Chimpanzee,18.47,94,23,4.086956521739131,2.493341448779877e-10,9.973365795119509e-10,3.624486471883707,117,8
0,Ficedula_albicollis,Collared flycatcher,,18,15,1.2,2.493341448779877e-10,9.973365795119509e-10,,33,5
0,Callithrix_jacchus,Common marmoset,3.202739726,6,3,2.0,3.2871637027353456e-10,1.3148654810941382e-09,2.1634405716226928,9,1
0,Gorilla_gorilla,Gorilla,16.5,32,16,2.0,2.594104308390023e-10,1.0376417233560092e-09,2.330770786971475,48,2
0,Homo_sapiens,Human,29.613335,11478,2784,4.122844827586207,1.457864556336342e-10,5.831458225345368e-10,3.5339735577378124,14262,225
0,Macaca_mulatta,Macaque,9.204848136363635,378,98,3.857142857142857,2.033900443945118e-10,8.135601775780472e-10,3.128133554437042,476,33
0,Mus_musculus,Mouse,0.4354135,152,55,2.7636363636363637,2.051689562526962e-09,8.206758250107848e-09,2.046875,207,40
0,Microcebus_murinus,Mouse lemur,3.0,51,43,1.186046511627907,1.3774385072094997e-09,5.509754028837999e-09,7.297050789388398,94,2
0,Pongo_abelii,Orangutan,23.0,33,8,4.125,2.1486810551558756e-10,8.594724220623502e-10,5.7897989210397265,41,1
0,Aotus_nancymaae,Owl monkey,5.516633499999999,71,34,2.088235294117647,4.675867290314681e-10,1.8703469161258725e-09,2.848890770006527,105,6
