Type	father	mother	Pat_age	Category	Alpha	Prop	Prop_lwr	Prop_upr	Alpha_lwr	Alpha_upr
C>T	4749	1297	31.6266666666667	Mut type	3.6615265998458	0.785478001984783	0.774911743996443	0.795768114306463	3.44270179952968	3.89639507858515
C>A	954	173	31.7072072072072	Mut type	5.51445086705202	0.846495119787045	0.82410524040012	0.867058461753012	4.68521769650654	6.52210342370292
T>C	2980	748	31.6266666666667	Mut type	3.98395721925134	0.799356223175966	0.786133986771003	0.812107420592919	3.67582476009991	4.32218996170913
C>G	1146	228	31.6266666666667	Mut type	5.02631578947368	0.834061135371179	0.813316754789567	0.853365458321603	4.35666711210628	5.81967555907275
T>G	874	158	31.6846846846847	Mut type	5.53164556962025	0.846899224806202	0.82346031300859	0.868338927059132	4.66444869729864	6.59525938581044
T>A	775	180	31.7432432432432	Mut type	4.30555555555556	0.81151832460733	0.785243845908927	0.83585526499269	3.65644397587751	5.09218443683537
S>W	5703	1470	31.6266666666667	Strong Weak	3.87959183673469	0.795064826432455	0.785534767050188	0.804354468053748	3.66276042156454	4.11128462813411
W>S	3854	906	31.6266666666667	Strong Weak	4.25386313465784	0.809663865546219	0.798218078117612	0.820728504522368	3.95584535359351	4.57813163400967
S>S	1146	228	31.6266666666667	Strong Weak	5.02631578947368	0.834061135371179	0.813316754789567	0.853365458321603	4.35666711210628	5.81967555907275
W>W	775	180	31.7432432432432	Strong Weak	4.30555555555556	0.81151832460733	0.785243845908927	0.83585526499269	3.65644397587751	5.09218443683537
gc-BGC-affected	9557	2376	31.6266666666667	gc-BGC	4.0223063973064	0.800888292969077	0.79360851397655	0.808021001670208	3.84516110265508	4.2089031024224
gc-BGC-unaffected	1921	408	31.6266666666667	gc-BGC	4.70833333333333	0.824817518248175	0.808759308695234	0.840054136114278	4.22901268123098	5.2521154077137
