Species	Common_names
Catagonus_wagneri	Chacoan peccary
Procavia_capensis	South Africanrock hyrax
Galeopterus_variegatus	Sunda flying lemur
Hippopotamus_amphibius	Hippopotamus
Manis_tricuspis	Tree pangolin
Moschus_moschiferus	Siberian musk deer
Antilocapra_americana	Pronghorn
Diceros_bicornis	Black rhinocerous
Tragulus_javanicus	Java lesser chevrotain
Hemitragus_hylocrius	Nilgiri tahr
Acomys_cahirinus	Cairo spiny mouse
Allactaga_bullata	Gobi jerboa
Alouatta_palliata_mexicana	Mexican howler monkey
Anoura_caudifer	Tailed tailless bat
Aplodontia_rufa	Mountain beaver
Artibeus_jamaicensis	Jamacian fruit-eating bat
Ateles_geoffroyi	Geoffroy's spider monkey
Beatragus_hunteri	Hirola
Callicebus_donacophilus	White-eared titi
Capromys_pilorides	Desmarest's hutia
Carollia_perspicillata	Seba's short-tailed bat
Castor_canadensis	North American beaver
Cavia_tschudii	Montane guinea pig
Cebus_albifrons	White-fronted capuchin
Ceratotherium_simum_cottoni	Northern white rhino
Cercopithecus_neglectus	De brazza's monkey
Chaetophractus_vellerosus	Screaming hairy armadillo
Cheirogaleus_medius	Fat-tailed dwarf lemur
Choloepus_didactylus	Linnaeus's two toed sloth
Chrysochloris_asiatica	Cape golden mole
Craseonycteris_thonglongyai	Bumblebee bat
Cricetomys_gambianus	Gambian pouched rat
Crocidura_indochinensis	Indochinese shrew
Cryptoprocta_ferox	Fossa
Ctenodactylus_gundi	Common gundi
Ctenomys_sociabilis	Social tuco-tuco
Cuniculus_paca	Lowland paca
Dasyprocta_punctata	Central American agouti
Daubentonia_madagascariensis	Aye-aye
Dinomys_branickii	Pacarana
Dipodomys_stephensi	Stephen's kangaroo rat
Dolichotis_patagonum	Patagonian mara
Erythrocebus_patas	Patas monkey
Eschrichtius_robustus	Grey whale
Eubalaena_japonica	North pacific right whale
Eulemur_fulvus	Common brown lemur
Felis_nigripes	Black-footed cat
Glis_glis	Edible dormouse
Graphiurus_murinus	Woodland doormouse
Helogale_parvula	Dwarf mongoose
Heterohyrax_brucei	African yellow-spotted rock hyrax
Hipposideros_galeritus	Cantor's leaf-nosed bat
Hyaena_hyaena	Striped hyena
Hydrochoerus_hydrochaeris	Capybara
Hystrix_cristata	Northern crested porcupine
Indri_indri	Indri
Inia_geoffrensis	Amazon river dolphin
Kogia_breviceps	Pygmy sperm whale
Lasiurus_borealis	Eastern red bat
Lemur_catta	Ring tailed lemur
Lepus_americanus	Snowshoe hare
Macroglossus_sobrinus	Long-tongued fruit bat
Megaderma_lyra	Greater false vampire bat
Mellivora_capensis	Honey badger
Meriones_unguiculatus	Mongolian jird
Mesoplodon_bidens	Sowerby’s beaked whale
Microgale_talazaci	Talazac's shrew tenrec
Micronycteris_hirsuta	Hairy big-eared bat
Miniopterus_schreibersii	Common bent-wing bat
Mirounga_angustirostris	Northern elephant seal
Mirza_coquereli	Coquerel's giant mouse lemur
Monodon_monoceros	Narwhal
Mormoops_blainvillei	Ghost-faced bat
Mungos_mungo	South Africanbanded mongoose
Murina_feae	Ashy-gray tube-nosed bat
Muscardinus_avellanarius	Hazel dormouse
Myocastor_coypus	Coypu
Myotis_myotis	Greater mouse-eared bat
Myrmecophaga_tridactyla	Giant anteater
Nasalis_larvatus	Proboscis monkey
Noctilio_leporinus	Greater bulldog bat
Nycticebus_coucang	Sunda slow loris
Ondatra_zibethicus	Muskrat
Onychomys_torridus	Scorpion mouse
Orycteropus_afer	Aardvark
Ovis_canadensis_cremnobates	Peninsular bighorn sheep
Panthera_onca	Jaguar
Paradoxurus_hermaphroditus	Asian palm civet
Perognathus_longimembris_pacificus	Pacific pocket mouse
Petromus_typicus	Dassie rat
Phocoena_phocoena	Harbor porpoise
Pipistrellus_pipistrellus	Common pipistrelle
Pithecia_pithecia	White-faced saki
Platanista_gangetica	Indus river dolphin
Pteronura_brasiliensis	Giant otter
Pygathrix_nemaeus	Red-shanked douc
Rangifer_tarandus	Siberian reindeer
Rousettus_aegyptiacus	Egyptian fruit bat
Saguinus_imperator	Emperor tamarin
Saiga_tatarica	Russian saiga
Scalopus_aquaticus	Eastern mole
Semnopithecus_entellus	Northern plains gray langur
Sigmodon_hispidus	Hispid cotton rat
Solenodon_paradoxus	Hispaniolan solenodon
Spilogale_gracilis	Western spotted skunk
Suricata_suricatta	Meerkat
Tadarida_brasiliensis	Mexican free-tailed bat
Tamandua_tetradactyla	Southern tamandua
