Species	Common_names
Homo_sapiens	Human
Pongo_abelii	Orangutan
Nomascus_leucogenys	Gibbon
Macaca_mulatta	Macaque
Saimiri_boliviensis	Squirrel monkey
Callithrix_jacchus	Marmoset
Microcebus_murinus	Mouse lemur
Daubentonia_madagascariensis	Aye-aye
Mus_musculus	Mouse
Mus_pahari	Shrew mouse
Rattus_norvegicus	Rat
Oryctolagus_cuniculus	Rabbit
Ceratotherium_simum_cottoni	White rhino
Dicerorhinus_sumatrensis	Sumatran rhino
Equus_caballus	Horse
Canis_lupus_familiaris	Dog
Felis_catus	Cat
Ovis_aries	Sheep
Bos_taurus	Cattle
Sus_scrofa	Pig
Halcyon_senegalensis	Woodland kingfisher
Bucorvus_abyssinicus	Northern ground hornbill
Trogon_melanurus	Black-tailed trogon
Haliaeetus_leucocephalus	Bald eagle
Falco_cherrug	Saker falcon
Ficedula_albicollis	Collared flycatcher
Aptenodytes_forsteri	Emperor penguin
Egretta_garzetta	Little egret
Psophia_crepitans	Grey-winged trumpeter
Calidris_pugnax	Ruff
Cuculus_canorus	Common cuckoo
Lophotis_ruficrista	Red-crested bustard
Columba_livia	Pigeon
Pterocles_burchelli	Burchell's sandgrouse
Gallus_gallus	Chicken
Numida_meleagris	Helmeted guineafowl
Penelope_pileata	White-crested guan
Cairina_moschata	Muscovy duck
Anseranas_semipalmata	Magpie goose
Pantherophis_guttatus	Corn snake
Thamnophis_elegans	Western garter snake
Naja_naja	Indian cobra
Crotalus_viridis	Prairie rattlesnake
Vipera_berus	European adder
