species	experiment
Mus_musculus	Hystricomorpha
Mus_musculus	Sciuromorpha
Mus_musculus	Lagomorpha
Felis_catus	Perissodactyla
Homo_sapiens	Atlantogenata
Homo_sapiens	Chiroptera
Homo_sapiens	Eulipotyphla
Camelus_bactrianus	Artiodactyla
Tupaia_tana	Euarchonta
Taeniopygia_guttata	Aves_g5
Gallus_gallus	Aves_g1
Gallus_gallus	Aves_g2
Gallus_gallus	Aves_g3
Gallus_gallus	Aves_g4
Tupaia_tana	Euarchonta.morethinned.originalData
Tupaia_tana	Euarchonta.morethinned
Tupaia_tana	Euarchonta.KorenRepTiming
Crotalus_viridis	Serpentes_3
Podarcis_muralis	Lacertidae
Felis_catus	Perissodactyla_ultrathinned
Camelus_bactrianus	Artiodactyla_ultrathinned
Manis_javanica	Ferae_ultrathinned
Ochotona_princeps	Castormyomorpha_ultrathinned
Otolemur_garnetti	Euarchonta_ultrathinned
Hippopotamus_amphibius	Artiodactyla_ultrathinned
Balaenoptera_bonaerensis	Artiodactyla_ultrathinned
Delphinapterus_leucas	Artiodactyla_ultrathinned
