Species	xvar	yvar	experiment
Anseranas_semipalmata	1.15836249209525	1.610162313	Generation_time_y.Alpha
Bucorvus_abyssinicus	1.47421626407626	1.334745907	Generation_time_y.Alpha
Cairina_moschata	0.406540180433955	1.318159511	Generation_time_y.Alpha
Calidris_pugnax	0.618048096712093	1.548093789	Generation_time_y.Alpha
Columba_livia	0.763427993562937	1.801675667	Generation_time_y.Alpha
Cuculus_canorus	0.845098040014257	1.906047333	Generation_time_y.Alpha
Egretta_garzetta	0.7481880270062	1.46043333	Generation_time_y.Alpha
Falco_cherrug	0.819543935541869	2.008522128	Generation_time_y.Alpha
Ficedula_albicollis	0.255272505103306	2.69653345	Generation_time_y.Alpha
Gallus_gallus	0.301029995663981	1.439451587	Generation_time_y.Alpha
Halcyon_senegalensis	0.301029995663981	1.78094597	Generation_time_y.Alpha
Haliaeetus_leucocephalus	1.04139268515823	1.838523606	Generation_time_y.Alpha
Lophotis_ruficrista	1.01283722470517	1.586773388	Generation_time_y.Alpha
Penelope_pileata	0.755874855672492	1.927779662	Generation_time_y.Alpha
Psophia_crepitans	0.902546779313991	1.939984925	Generation_time_y.Alpha
Pterocles_burchelli	0.7481880270062	2.148765687	Generation_time_y.Alpha
Trogon_melanurus	0.863322860120456	1.857427214	Generation_time_y.Alpha
Anseranas_semipalmata	2	1.610162313	AssemblyStatus.Alpha
Bucorvus_abyssinicus	2	1.334745907	AssemblyStatus.Alpha
Cairina_moschata	1	1.318159511	AssemblyStatus.Alpha
Calidris_pugnax	2	1.548093789	AssemblyStatus.Alpha
Columba_livia	2	1.801675667	AssemblyStatus.Alpha
Cuculus_canorus	2	1.906047333	AssemblyStatus.Alpha
Egretta_garzetta	2	1.46043333	AssemblyStatus.Alpha
Falco_cherrug	2	2.008522128	AssemblyStatus.Alpha
Ficedula_albicollis	1	2.69653345	AssemblyStatus.Alpha
Gallus_gallus	1	1.439451587	AssemblyStatus.Alpha
Halcyon_senegalensis	2	1.78094597	AssemblyStatus.Alpha
Haliaeetus_leucocephalus	2	1.838523606	AssemblyStatus.Alpha
Lophotis_ruficrista	2	1.586773388	AssemblyStatus.Alpha
Penelope_pileata	2	1.927779662	AssemblyStatus.Alpha
Psophia_crepitans	2	1.939984925	AssemblyStatus.Alpha
Pterocles_burchelli	2	2.148765687	AssemblyStatus.Alpha
Trogon_melanurus	2	1.857427214	AssemblyStatus.Alpha
Anseranas_semipalmata	0.135225	1.610162313	Divergence_to_NCA.Alpha
Bucorvus_abyssinicus	0.277093743	1.334745907	Divergence_to_NCA.Alpha
Cairina_moschata	0	1.318159511	Divergence_to_NCA.Alpha
Calidris_pugnax	0.280370608	1.548093789	Divergence_to_NCA.Alpha
Columba_livia	0.30436659	1.801675667	Divergence_to_NCA.Alpha
Cuculus_canorus	0.324616289	1.906047333	Divergence_to_NCA.Alpha
Egretta_garzetta	0.265145136	1.46043333	Divergence_to_NCA.Alpha
Falco_cherrug	0.268568642	2.008522128	Divergence_to_NCA.Alpha
Ficedula_albicollis	0	2.69653345	Divergence_to_NCA.Alpha
Gallus_gallus	0	1.439451587	Divergence_to_NCA.Alpha
Halcyon_senegalensis	0.301795213	1.78094597	Divergence_to_NCA.Alpha
Haliaeetus_leucocephalus	0.239578555	1.838523606	Divergence_to_NCA.Alpha
Lophotis_ruficrista	0.284355489	1.586773388	Divergence_to_NCA.Alpha
Penelope_pileata	0.20791765	1.927779662	Divergence_to_NCA.Alpha
Psophia_crepitans	0.283442718	1.939984925	Divergence_to_NCA.Alpha
Pterocles_burchelli	0.29030151	2.148765687	Divergence_to_NCA.Alpha
Trogon_melanurus	0.296290223	1.857427214	Divergence_to_NCA.Alpha
Anseranas_semipalmata	4.72602590528134	1.610162313	ContigN50.Alpha
Bucorvus_abyssinicus	5.21456305476276	1.334745907	ContigN50.Alpha
Cairina_moschata	4.95003852406534	1.318159511	ContigN50.Alpha
