Species	xvar	yvar	experiment
Bos_taurus	2.91304347826087	2.745454545	Predicted_alpha_dnms.Alpha_dnm
Callithrix_jacchus	2.1648210461915	2	Predicted_alpha_dnms.Alpha_dnm
Pongo_abelii	5.78979892103973	4.125	Predicted_alpha_dnms.Alpha_dnm
Homo_sapiens	3.53425065758465	4.122844828	Predicted_alpha_dnms.Alpha_dnm
Macaca_mulatta	3.12978749439165	3.857142857	Predicted_alpha_dnms.Alpha_dnm
Felis_catus	3.35463335375436	3	Predicted_alpha_dnms.Alpha_dnm
Mus_musculus	2.046875	2.763636364	Predicted_alpha_dnms.Alpha_dnm
Papio_anubis	2.62145418427299	3.230769231	Predicted_alpha_dnms.Alpha_dnm
Pan_troglodytes	3.62411410347271	4.086956522	Predicted_alpha_dnms.Alpha_dnm
Gorilla_gorilla	2.33077078697148	2	Predicted_alpha_dnms.Alpha_dnm
Aotus_nancymaae	2.84887508142506	2.088235294	Predicted_alpha_dnms.Alpha_dnm
Ursus_arctos	3.00795228628231	5.5	Predicted_alpha_dnms.Alpha_dnm
Bos_taurus	2.91304347826087	2.745454545	Predicted_alpha_dnms_min2trios.Alpha_dnm
Homo_sapiens	3.53425065758465	4.122844828	Predicted_alpha_dnms_min2trios.Alpha_dnm
Macaca_mulatta	3.12978749439165	3.857142857	Predicted_alpha_dnms_min2trios.Alpha_dnm
Felis_catus	3.35463335375436	3	Predicted_alpha_dnms_min2trios.Alpha_dnm
Mus_musculus	2.046875	2.763636364	Predicted_alpha_dnms_min2trios.Alpha_dnm
Papio_anubis	2.62145418427299	3.230769231	Predicted_alpha_dnms_min2trios.Alpha_dnm
Pan_troglodytes	3.62411410347271	4.086956522	Predicted_alpha_dnms_min2trios.Alpha_dnm
Gorilla_gorilla	2.33077078697148	2	Predicted_alpha_dnms_min2trios.Alpha_dnm
Aotus_nancymaae	2.84887508142506	2.088235294	Predicted_alpha_dnms_min2trios.Alpha_dnm
Ursus_arctos	3.00795228628231	5.5	Predicted_alpha_dnms_min2trios.Alpha_dnm
Bos_taurus	2.91304347826087	2.745454545	Predicted_alpha_dnms_min8trios.Alpha_dnm
Homo_sapiens	3.53425065758465	4.122844828	Predicted_alpha_dnms_min8trios.Alpha_dnm
Macaca_mulatta	3.12978749439165	3.857142857	Predicted_alpha_dnms_min8trios.Alpha_dnm
Mus_musculus	2.046875	2.763636364	Predicted_alpha_dnms_min8trios.Alpha_dnm
Papio_anubis	2.62145418427299	3.230769231	Predicted_alpha_dnms_min8trios.Alpha_dnm
Pan_troglodytes	3.62411410347271	4.086956522	Predicted_alpha_dnms_min8trios.Alpha_dnm
Ursus_arctos	3.00795228628231	5.5	Predicted_alpha_dnms_min8trios.Alpha_dnm
Bos_taurus	2.91304347826087	2.745454545	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Homo_sapiens	3.53425065758465	4.122844828	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Macaca_mulatta	3.12978749439165	3.857142857	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Felis_catus	3.35463335375436	3	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Mus_musculus	2.046875	2.763636364	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Papio_anubis	2.62145418427299	3.230769231	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Pan_troglodytes	3.62411410347271	4.086956522	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Gorilla_gorilla	2.33077078697148	2	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
Aotus_nancymaae	2.84887508142506	2.088235294	Predicted_alpha_dnms_min2trios30dnms.Alpha_dnm
