Species	xvar	yvar	experiment
Bos_taurus	0.816241299991783	2.973367307	Generation_time_y.Alpha
Callithrix_jacchus	0.423245873936808	2.300218497	Generation_time_y.Alpha
Canis_lupus_familiaris	0.553883026643874	1.339210792	Generation_time_y.Alpha
Ceratotherium_simum_cottoni	1.16702179579026	3.07205928	Generation_time_y.Alpha
Daubentonia_madagascariensis	0.903089986991944	2.954661506	Generation_time_y.Alpha
Dicerorhinus_sumatrensis	1.07918124604762	2.404204696	Generation_time_y.Alpha
Equus_caballus	1.07918124604762	4.106223373	Generation_time_y.Alpha
Felis_catus	0.352182518111362	0.9766717203	Generation_time_y.Alpha
Homo_sapiens	1.46239799789896	3.867057387	Generation_time_y.Alpha
Macaca_mulatta	0.866287339084195	2.595815891	Generation_time_y.Alpha
Microcebus_murinus	0.494850021680094	2.890600042	Generation_time_y.Alpha
Mus_musculus	-0.1249387366083	2.821501142	Generation_time_y.Alpha
Mus_pahari	-0.1249387366083	2.660088058	Generation_time_y.Alpha
Nomascus_leucogenys	1.13033376849501	3.937802443	Generation_time_y.Alpha
Oryctolagus_cuniculus	0.255272505103306	2.620016186	Generation_time_y.Alpha
Ovis_aries	0.707995746422929	3.425547178	Generation_time_y.Alpha
Pongo_abelii	1.39794000867204	3.368587866	Generation_time_y.Alpha
Rattus_norvegicus	0	2.535387586	Generation_time_y.Alpha
Saimiri_boliviensis	0.653212513775344	2.470228829	Generation_time_y.Alpha
Sus_scrofa	0.397940008672038	1.87809756	Generation_time_y.Alpha
Bos_taurus	1.30102999566398	2.973367307	Maximum_longevity.Alpha
Callithrix_jacchus	1.35793484700045	2.300218497	Maximum_longevity.Alpha
Canis_lupus_familiaris	1.31386722036915	1.339210792	Maximum_longevity.Alpha
Ceratotherium_simum_cottoni	1.65321251377534	3.07205928	Maximum_longevity.Alpha
Daubentonia_madagascariensis	1.5092025223311	2.954661506	Maximum_longevity.Alpha
Dicerorhinus_sumatrensis	1.51587384371168	2.404204696	Maximum_longevity.Alpha
Equus_caballus	1.75587485567249	4.106223373	Maximum_longevity.Alpha
Felis_catus	1.47712125471966	0.9766717203	Maximum_longevity.Alpha
Homo_sapiens	2.08813608870055	3.867057387	Maximum_longevity.Alpha
Macaca_mulatta	1.60205999132796	2.595815891	Maximum_longevity.Alpha
Microcebus_murinus	1.26007138798507	2.890600042	Maximum_longevity.Alpha
Mus_musculus	0.602059991327962	2.821501142	Maximum_longevity.Alpha
Nomascus_leucogenys	1.64443858946784	3.937802443	Maximum_longevity.Alpha
