"species","alpha","alpha_lwr","alpha_upr","xz_a","xz_a_lwr","xz_a_upr","mut_type","Generation time (years)","V1","Common name","Family","IUCN","Order","Subspecies","BioSample","Bioproject accession","Captivity details","Coordinate notes","Country","County/District","Date collected","Elevation (masl)","Genome Accession","Latitude","Longitude","Museum ID/Source specimen ID","SRA Accession","Sexb10k","Site","Source institution","State/Province","Tissue","CG content(%)","Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)","Contig_L50 (bp)","Contig_N50 (bp)","Contig_Num","Depth","Fragmented BUSCOs (F, %)","Gap_Len (bp)","Gap_Ratio (%)","Missing BUSCOs (M, %)","Scaffold_L50 (bp)","Scaffold_N50 (bp)","Scaffold_Num (bp)","Total_Len (bp)","AssemblyAccession","AssemblyName","Organism","AssemblyStatus","Coverage","ContigN50","ScaffoldN50","Sex","dnms","GenerationLength_d"
"Anseranas_semipalmata",1.56094175884845,1.22681528397454,2.11671328541507,1.07301243210111,1.0339521177182,1.11943278951803,"mod",14.4,"Anseranas semipalmata","Magpie Goose","Anseranatidae","Least Concern","Anseriformes","monotypic","SAMN12253809","PRJNA545868","Captive","Captive bird, hence no coordinates","","","27-Nov-01","","VXAA00000000","","","USNM:623235","SRR10019943, SRR10019944, SRR10019946, SRR9946951","Male","","National Museum of Natural History, Smithsonian Institution, USA","","muscle",41.57,94.1,0.8,93.3,10349,31498,100744,47,3.7,9962218,0.88,2.2,505,621325,26934,1133397801,"GCA_013399115.1","ASM1339911v1","Anseranas semipalmata (magpie goose)","Scaffold",47,53214,628312,"male",0,5256
"Aptenodytes_forsteri",1.60375928217033,1.31587031869208,1.99008716360482,1.07729327954196,1.04546459505131,1.11037439261037,"mod",17.4,"Aptenodytes forsteri","Emperor Penguin","Spheniscidae","Near Threatened","Sphenisciformes","monotypic","SAMN02596600","PRJNA235982","","Coordinates approximate from locality information","","","","","GCA_000699145.1","69.4 S","76.41 E","None","SRP035855","Male","The Emperor Island nearby the Zhongshan Station, South Pole","Griffith University, Australia","","blood",41.65,94,0.8,93.2,11608,30459,108691,60,3.6,71904712,5.72,2.4,71,5071598,29970,1257483768,"GCF_000699145.1","ASM69914v1","Aptenodytes forsteri (emperor penguin)","Scaffold",60,31730,5071598,"male",0,6351
"Bucorvus_abyssinicus",1.2934187171866,1.05322928925117,1.62490456326322,1.04264648157323,1.00864155625967,1.07935584554312,"mod",30,"Bucorvus abyssinicus","Northern Ground Hornbill","Bucerotidae","Vulnerable","Bucerotiformes","monotypic","SAMN12253919","PRJNA545868","Captive","Captive bird, hence no coordinates","","","30-Oct-08","","VYZL00000000","","","","SRR9946601, SRR9946603, SRR9946604","","","Copenhagen Zoo, Denmark","","missing",43.01,94.6,1.1,93.5,3176,100552,56386,93,3.2,4297570,0.39,2.2,263,1077579,29128,1104632781,"GCA_013398885.1","ASM1339888v1","Bucorvus abyssinicus (Abyssinian ground-hornbill)","Scaffold",93,163894,1077696,"",0,10950
"Cairina_moschata",1.27636761478933,1.02462712493558,1.60776934080002,1.04046909544161,1.00405459432213,1.07768700133752,"mod",2.55,"Cairina moschata","Muscovy Duck","Anatidae","Least Concern","Anseriformes","domestica","SAMN08035743","PRJNA417448","Captive","Captive bird, hence no coordinates","","","","","QZEJ00000000","","","","SRP125145","Male","","Washington University School of Medicine, Missouri, USA","","blood",41.44,90.7,1.4,89.3,4006,71708,35783,148,5.3,28771234,2.59,4,5,58542904,2943,1109232564,"GCA_009194515.1","CaiMos1.0","Cairina moschata domestica (Muscovy Duck (domestic type))","Chromosome",100,89133,2417665,"",0,930.75
"Calidris_pugnax",1.50894821153882,1.19965194289639,1.97200475007031,1.06761773840769,1.03025508096726,1.10901785515286,"mod",5.3,"Calidris pugnax","Ruff","Scolopacidae","Least Concern","Charadriiformes","monotypic","SAMN03491621","PRJNA305421, PRJNA281024","","Locality not given on NCBI","","","","","GCA_001431845.1","","","","<a href=""""https://www.ncbi.nlm.nih.gov/sra/undefined"""" target=""""_blank"""">undefined</a>","","","Independently published, NCBI","","missing",42.45,95.1,1.7,93.4,3054,109237,34157,113,3,46140523,3.75,1.9,33,10060041,3753,1229094286,"GCF_001431845.1","ASM143184v1","Calidris pugnax (ruff)","Scaffold",113,109237,10060041,"",0,1934.5
"Columba_livia",1.77880550477955,1.45560429165067,2.16746406061756,1.09342209610568,1.06184550895812,1.12286001653848,"mod",5.8,"Columba livia","Domestic Pigeon (Rock Dove)","Columbidae","Least Concern","Columbiformes","domestica","SAMN00993249","PRJNA167554","Captive","Captive bird, hence no coordinates","","","","","GCA_000337935.2","","","","SRP013894","Male","","Danmarks Racedueforeninger, Denmark","","blood",41.51,92.8,0.8,92,14475,22400,143123,63,4.6,20781163,1.87,2.6,82,3148738,38878,1111581692,"GCA_000337935.2","Cliv_2.1","Columba livia (rock pigeon)","Scaffold",60,26627,14233134,"male",0,2117
"Cuculus_canorus",1.86735252860549,1.50700500545065,2.39023156988437,1.10083082099283,1.06741177944045,1.13668993216018,"mod",7,"Cuculus canorus","Common Cuckoo","Cuculidae","Least Concern","Cuculiformes","canorus","SAMN02298149","PRJNA212870","","","Kuwait","","6-Jul-11","100","GCA_000709325.1","28.56 N","48.09 E","LSUMZ:B-45971","SRP028349","Male","Wafra New Town, Abdulaziz Ahmed Al-Ayoub Farm","Louisiana State University Museum of Natural Science, USA","Al Ah'madi Governorate","multiple tissues",41.55,94.4,0.9,93.5,10902,31110,123100,100,3.6,27717946,2.39,2,120,2989664,55203,1159208195,"GCF_000709325.1","ASM70932v1","Cuculus canorus (common cuckoo)","Scaffold",100,38137,2989832,"male",0,2555
"Egretta_garzetta",1.58557938157356,1.28001231276452,2.05156039360809,1.07549299340111,1.04093725155151,1.11486586729101,"mod",4.6,"Egretta garzetta","Little Egret","Ardeidae","Least Concern","Pelecaniformes","garzetta","SAMN02596466","PRJNA232959","","Coordinates approximate from locality information","China","Yangxian County","","","GCA_000687185.1","","","","SRP035853","Male","South Qinling Mountains","State Forestry and Grassland Administration, China","Shaanxi","blood",42.3,93.4,0.6,92.8,14379,23879,149025,74,4.2,49316013,4.07,2.4,114,3051370,44452,1211513874,"GCF_000687185.1","ASM68718v1","Egretta garzetta (little egret)","Scaffold",74,29019,3067157,"male",0,1679
"Falco_cherrug",1.9396283419268,1.49677362567413,2.55920679672716,1.10654729471809,1.06632207535969,1.1460256817297,"mod",6.6,"Falco cherrug","Saker Falcon","Falconidae","Endangered","Falconiformes","cherrug (?)","SAMN01055121","PRJNA217049, PRJNA168071","","Coordinates approximate from locality information fro individual from Lake Waikaremoana","United Arab Emirates","","around October 2013","","GCA_000337975.1","","","","SRP018394","Male","Abu Dhabi Falcon Hospital","Abu Dhabi Falcon Hospital, UAE","","blood",41.71,93.8,0.9,92.9,10949,31327,75898,147,3.9,23817946,2.03,2.3,84,4154532,5863,1174811715,"GCF_000337975.1","F_cherrug_v1.0","Falco cherrug (Saker falcon)","Scaffold",147,31327,4154532,"male",0,2409
"Ficedula_albicollis",2.55773088919647,1.79304830868647,4.06972542575457,1.14594797805222,1.09464549374484,1.20183377257212,"mod",1.8,"Ficedula albicollis","Collared Flycatcher","Muscicapidae","Least Concern","Passeriformes","monotypic","SAMN02981387","PRJNA208061, PRJNA75089","","","Sweden","","9-May","","GCA_000247815.2","","","","<a href=""""https://www.ncbi.nlm.nih.gov/sra/undefined"""" target=""""_blank"""">undefined</a>","Male","","Independently published, NCBI","Oland","missing",44.22,,,,910,351202,32457,60,,16019705,1.43,,6,64724594,21428,1118343587,"GCF_000247815.1","FicAlb1.5","Ficedula albicollis (Collared flycatcher)","Chromosome",60,410964,6542656,"male",33,657
