,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
0,Rifleman,Acanthisittidae,Least Concern,Passeriformes,chloris,SAMN02318032,PRJNA212877,,,New Zealand,Kaikoura,10-Jan-11,,GCA_000695815.1,42.38 S,173.61 E,TG17,SRP028832,Female,Kowhai bush,"Canterbury Museum, New Zealand",South Island,"muscle, pectoral",41.7,86.5,0.6,85.9,16980,18010,175276,29.0,9.3,7537786,0.72,4.2,4551,63947,84187,1044655775,GCF_000695815.1,ASM69581v1,Acanthisitta chloris (rifleman),Scaffold,29,20602.0,64469.0,female,Acanthisitta_chloris,False,0
1,Great Reed Warbler,Acrocephalidae,Least Concern,Passeriformes,"unable to determine, by source as arundinaceus",SAMN12254005,PRJNA545868,,,Sweden,,12-May-13,23,VZST00000000,59.18 N,15.37 E,3553254 (H9-23),"SRR9853676, SRR9853708, SRR9853852",Male,Lake Kvismaren,"Hansson lab, Lund University",NŒrke,blood,41.61,85.9,1.1,84.8,3751,73913,55039,146.0,8.1,141954772,11.99,6.0,932,336459,29469,1184265206,GCA_013398685.1,ASM1339868v1,Acrocephalus arundinaceus (great reed warbler),Scaffold,146,92557.0,336459.0,male,Acrocephalus_arundinaceus,True,0
2,Long-tailed Tit,Aegithalidae,Least Concern,Passeriformes,magnus,SAMN12253835,PRJNA545868,,"Original coordinates appear wrong. Likely mixup: west, which should be east. Original coordinates: 37 03 14 N        127 01 49 W",Korea,,18-Oct-04,,WEIU00000000,37.05 N,127.03 E,USNM:633354,"SRR10019882, SRR9946985, SRR9946987",Female,"Osan Air Base, Alpha ammo storage site","National Museum of Natural History, Smithsonian Institution, USA",Kyongii,muscle,41.51,88.4,1.0,87.4,13323,20643,281973,48.0,6.2,18897960,1.84,5.4,810,304996,153849,1028045045,GCA_013389925.1,ASM1338992v1,Aegithalos caudatus (Northern long-tailed tit),Scaffold,48,34055.0,311465.0,female,Aegithalos_caudatus,False,0
3,Barred Owlet-nightjar,Aegothelidae,Least Concern,Caprimulgiformes,bennettii,SAMN12253958,PRJNA545868,,,Papua New Guinea,,25-Aug-87,,VZRW00000000,9.03 S,147.00 E,NMV Z44240 / ANWC B27107,"SRR9946913, SRR9946612, SRR9946683, SRR9946455",Female,Ridges above middle Kuriva River,Museums Victoria / Australian National Wildlife Collection,Central Province,heart,41.64,91.8,0.6,91.2,6445,46022,105678,45.0,4.8,12961654,1.19,3.4,843,322070,53892,1092772212,GCA_013398125.1,ASM1339812v1,Aegotheles bennettii (birds),Scaffold,45,65833.0,324808.0,female,Aegotheles_bennettii,False,0
4,Rosy-faced Lovebird,Psittaculidae,Least Concern,Psittaciformes,unable to determine,SAMN06099614,PRJNA355979,Captive,"Captive bird, hence no coordinates",Belgium,,1/4/15,,GCA_002631895.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Male,,"North West University, South Africa",,blood,41.9,89.0,1.2,87.8,17924,17580,536881,100.0,7.2,18361966,1.57,3.8,2852,111909,433803,1170382572,GCA_002631895.1,ASM263189v1,Agapornis roseicollis (peach-faced lovebird),Scaffold,100,28585.0,118346.0,male,Agapornis_roseicollis,False,0
5,Red-winged Blackbird,Icteridae,Least Concern,Passeriformes,fortis (?),SAMN12254002,PRJNA545868,,,USA,San Juan County,16-Jul-15,1350,VZSP00000000,36.73 N,108.33 W,MSB:Bird:45213,SRR9853697,Female,Kirtland,"Museum of Southwestern Biology, University of New Mexico, USA",New Mexico,muscle,42.15,88.1,1.3,86.8,3690,78423,74553,120.0,6.8,26524500,2.44,5.1,162,1731966,42259,1086319302,GCA_013398535.1,ASM1339853v1,Agelaius phoeniceus (red-winged blackbird),Scaffold,120,78381.0,1693451.0,female,Agelaius_phoeniceus,False,0
6,Asian Short-toed Lark,Alaudidae,Least Concern,Passeriformes,unable to determine,SAMN12253773,PRJNA545868,,,Mongolia,,2-Jun-97,1400,VWYE00000000,44.10 N,100.93 E,USNM:586677,"SRR9994364, SRR9994365, SRR9994366, SRR9946620, SRR9946621",Female,Gobi Desert,"National Museum of Natural History, Smithsonian Institution, USA",Bayanhongor,muscle,42.18,90.3,0.9,89.4,7689,36182,275145,81.0,5.7,15014136,1.39,4.0,687,388945,178214,1083952160,GCA_013398995.1,ASM1339899v1,Alaudala cheleensis (Asian short-toed lark),Scaffold,81,96766.0,398825.0,female,Alaudala_cheleensis,False,0
7,Razorbill,Alcidae,Near Threatened,Charadriiformes,unable to determine,SAMN12253979,PRJNA545868,,,Denmark,,11-Jul-06,,VZSD00000000,,,NHMD:676748,"SRR9853758, SRR9853828, SRR9853829, SRR9853830, SRR9853831, SRR9853834",Juvenile,Gr¾sholm,"Natural History Museum of Denmark, University of Copenhagen, Denmark",Bornholm,muscle,42.37,90.9,0.9,90.0,13341,24869,187595,47.0,5.6,9807733,0.84,3.5,1291,239357,93234,1168531553,GCA_013398245.1,ASM1339824v1,Alca torda (razorbill),Scaffold,47,48979.0,240911.0,,Alca_torda,False,0
8,Rufous-naped Bellbird,Oreoicidae,Least Concern,Passeriformes,gamblei,SAMN12253938,PRJNA545868,,,Papua New Guinea,,1-Aug-87,,VZTH00000000,9.07 S,148.13 E,NMV Z42964 / ANWC B26828,"SRR9947328, SRR9947329, SRR9946489, SRR9946490, SRR9946492",Male,"Daleatana Environ, Gulugawa Ridge S above Awoma",Museums Victoria / Australian National Wildlife Collection,Oro Province,muscle,42.17,92.4,0.9,91.5,7695,39582,126105,45.0,4.6,7580183,0.72,3.0,774,366232,67323,1054488611,GCA_013397815.1,ASM1339781v1,Aleadryas rufinucha (rufous-naped whistler),Scaffold,45,90297.0,367770.0,male,Aleadryas_rufinucha,False,0
9,Australian Brush-turkey,Megapodiidae,Least Concern,Galliformes,lathami,SAMN12253796,PRJNA545868,,Coordinates approximate from locality information,Australia,,1-Sep-87,,VXAV00000000,27.53 S,152.97 E,USNM:612658,"SRR10019965, SRR10019966, SRR10019968",Male,"Brisbane, Figtree Pocket","National Museum of Natural History, Smithsonian Institution, USA",Queensland,muscle,42.52,89.6,1.0,88.6,22696,12136,335624,48.0,6.7,22938522,2.17,3.7,1295,225288,141553,1057265541,GCA_013399715.1,ASM1339971v1,Alectura lathami (australian brush-turkey),Scaffold,48,18430.0,229397.0,male,Alectura_lathami,False,0
10,Bronze Ground Dove,Columbidae,Least Concern,Columbiformes,johannae,SAMN12253886,PRJNA545868,,,Papua New Guinea,,29-Jan-94,1174,VWYH00000000,4.45 S,152.93 E,USNM:615012,"SRR9947159, SRR9947160",Female,Hans Meyer Range,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,missing,41.96,92.1,1.1,91.0,6827,47235,252756,64.0,4.4,6115318,0.54,3.5,458,664319,204001,1134020998,GCA_013399365.1,ASM1339936v1,Alopecoenas beccarii (Western bronze ground-dove),Scaffold,64,126523.0,674421.0,female,Alopecoenas_beccarii,False,0
11,St. Vincent Parrot,Psittacidae,Vulnerable,Psittaciformes,monotypic,SAMN12253802,PRJNA545868,Captive,"Captive bird, hence no coordinates",Saint Vincent and the Grenadines,,1989,,VXAR00000000,,,USNM:613763,"SRR9947143, SRR9947144, SRR9946657",Female,,"National Museum of Natural History, Smithsonian Institution, USA",St. Vincent,muscle,42.03,92.1,0.9,91.2,11277,27435,192982,42.0,4.8,15008564,1.31,3.1,1085,271688,97853,1142575378,GCA_013399615.1,ASM1339961v1,Amazona guildingii (birds),Scaffold,42,61007.0,275649.0,female,Amazona_guildingii,False,0
12,Peking Duck,Anatidae,Least Concern,Anseriformes,unable to determine,SAMN10245527,"PRJNA508795, PRJNA496533",Captive,"Captive bird, hence no coordinates",,,,,GCA_000355885.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Female: Adult,,"Independently published, NCBI",,blood,41.89,94.2,2.7,91.5,7786,38590,123546,60.0,3.6,95195785,7.52,2.2,124,2490036,18550,1265073014,GCF_000355885.1,BGI_duck_1.0,Anas platyrhynchos (mallard),Scaffold,60,26114.0,1233631.0,female,Anas_platyrhynchos,False,0
13,Chinese Spot-billed Duck,Anatidae,Least Concern,Anseriformes,monotypic,SAMN07337763,PRJNA392350,,Locality not given on NCBI,,,,,GCA_002224875.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Female: Adult,Locality not given on NCBI,"Independently published, NCBI",,blood,41.89,90.6,2.3,88.3,9076,33329,141038,220.0,5.8,131511522,10.03,3.6,152,2077029,20089,1310797575,GCA_002224875.1,ASM222487v1,Anas zonorhyncha (Eastern spot-billed duck),Scaffold,220,33496.0,2077029.0,female,Anas_zonorhyncha,False,0
14,Anhinga,Anhingidae,Least Concern,Pelecaniformes,leucogaster,SAMN12253762,PRJNA545868,,Coordinates approximate from locality information,USA,Martin,25-May-13,,WBMU00000000,27.17 N,80.27 W,FMNH:493807,"SRR9994332, SRR9994333, SRR9994340",Male,Palm City,"Field Museum of Natural History, USA",Florida,missing,41.87,90.9,1.1,89.8,15620,21319,93644,52.0,5.3,27844088,2.35,3.8,1013,338596,10146,1183801621,GCA_013396435.1,ASM1339643v1,Anhinga anhinga (American anhinga),Scaffold,52,25978.0,337495.0,male,Anhinga_anhinga,False,0
